,year,sex,ex_m,ex_l,ex_u,lss_mean,lss_l,lss_u
1,2023,Females,44.30379357,40.61215535,47.6225711,33.92340643,30.6046289,37.61504465
2,2023,Males,40.57742552,38.21073971,42.81667446,34.37652448,32.13727554,36.74321029
3,2023,Total,42.31167122,39.36903793,45.02117823,34.36043878,31.65093177,37.30307207
4,2024,Females,45.90827741,42.24673449,49.08787806,32.38508259,29.20548194,36.04662551
5,2024,Males,36.20424775,33.87174559,38.41009426,38.85817225,36.65232574,41.19067441
6,2024,Total,40.36405801,37.47418255,42.99638879,36.40732199,33.77499121,39.29719745
7,2023.5,Females,34.33281052,30.86132197,37.54435905,43.92679948,40.71525095,47.39828803
8,2023.5,Males,26.08416681,24.24249152,27.9054745,48.92149319,47.1001855,50.76316848
9,2023.5,Total,29.29359262,26.82483993,31.69160388,47.42640738,45.02839612,49.89516007
10,2024.5,Females,53.9698094,49.43454453,57.67408163,24.3867806,20.68250837,28.92204547
11,2024.5,Males,33.02927904,29.87601263,35.85139437,42.13422096,39.31210563,45.28748737
12,2024.5,Total,40.61337215,36.76702332,43.9116948,36.25246785,32.9541452,40.09881668
