"","region","cause","year","sex","age","mx_m","mx_l","mx_u"
"1","Gaza Strip","noconflict","23","f",0,0.0120289225475,0.0120289,0.012029
"2","Gaza Strip","noconflict","23","f",1,0.000541128575,0.000541099999999999,0.000541200000000002
"3","Gaza Strip","noconflict","23","f",5,0.000263566025,0.0002635,0.000263600000000003
"4","Gaza Strip","noconflict","23","f",10,0.000204078025,0.000203999999999999,0.000204100000000002
"5","Gaza Strip","noconflict","23","f",15,0.000201454373374172,0.000201413828374171,0.000201483828374171
"6","Gaza Strip","noconflict","23","f",20,0.000314250586478667,0.000314220353978666,0.000314280353978667
"7","Gaza Strip","noconflict","23","f",25,0.000310420862956488,0.000310406300456487,0.000310506300456488
"8","Gaza Strip","noconflict","23","f",30,0.000413652523063876,0.000413580873063873,0.000413680873063876
"9","Gaza Strip","noconflict","23","f",35,0.000785822457775978,0.000785817407775976,0.000785917407775978
"10","Gaza Strip","noconflict","23","f",40,0.000881987995841866,0.000881900345841865,0.000882000345841868
"11","Gaza Strip","noconflict","23","f",45,0.00133554194654979,0.00133553722154979,0.00133563722154979
"12","Gaza Strip","noconflict","23","f",50,0.00257298230483231,0.00257290955483231,0.00257300955483231
"13","Gaza Strip","noconflict","23","f",55,0.00484964846327178,0.00484961791327178,0.00484971791327178
"14","Gaza Strip","noconflict","23","f",60,0.00784301999810801,0.007842961648108,0.00784306164810801
"15","Gaza Strip","noconflict","23","f",65,0.0165179450324362,0.0165178618574362,0.0165179618574362
"16","Gaza Strip","noconflict","23","f",70,0.0332458382,0.0332458,0.0332459
"17","Gaza Strip","noconflict","23","f",75,0.044118835075,0.0441188,0.0441189
"18","Gaza Strip","noconflict","23","f",80,0.1387702731,0.1387698,0.1387707
"19","Gaza Strip","noconflict","23","m",0,0.0135719062067608,0.0135718403467608,0.0135719503467608
"20","Gaza Strip","noconflict","23","m",1,0.000589087972750856,0.000589053115250856,0.000589153115250857
"21","Gaza Strip","noconflict","23","m",5,0.000353621559356338,0.000353607734356337,0.000353707734356338
"22","Gaza Strip","noconflict","23","m",10,0.000346849141008193,0.000346783966008192,0.000346883966008193
"23","Gaza Strip","noconflict","23","m",15,0.000293608445425183,0.000293602170425181,0.000293702170425183
"24","Gaza Strip","noconflict","23","m",20,0.00048496992959734,0.000484968154597339,0.000484968154597343
"25","Gaza Strip","noconflict","23","m",25,0.000760536047840546,0.000760484172840546,0.000760584172840549
"26","Gaza Strip","noconflict","23","m",30,0.000700060497281175,0.000700007547281174,0.000700107547281177
"27","Gaza Strip","noconflict","23","m",35,0.00110228567936692,0.00110228677936692,0.00110228677936692
"28","Gaza Strip","noconflict","23","m",40,0.00143650171008292,0.00143647921008292,0.00143657921008292
"29","Gaza Strip","noconflict","23","m",45,0.00202902987429431,0.00202900529179431,0.00202910529179431
"30","Gaza Strip","noconflict","23","m",50,0.00435063729324711,0.00435060546824711,0.00435070546824711
