"","region","cause","year","sex","age","dx_m","dx_l","dx_u","pop","mx_m","mx_l","mx_u"
"1","Gaza Strip","all","23","f",0,822.858259738441,743.701362444353,918.144881240862,33771.1815893293,0.0243656935,0.022021775,0.02718723
"2","Gaza Strip","all","23","f",1,2014.57034872666,1726.38749271779,2366.01458791507,133076.47676379,0.015138440675,0.0129728975,0.01777936
"3","Gaza Strip","all","23","f",5,2466.05754418404,2115.50575168451,2901.61625267061,141219.019669277,0.01746264455,0.0149803175,0.0205469225
"4","Gaza Strip","all","23","f",10,2134.32571830423,1818.23172923937,2515.87353416424,136413.095131458,0.01564604715,0.013328865,0.01844305
"5","Gaza Strip","all","23","f",15,1128.21867956244,995.754285975795,1277.20682398766,117745.30053725,0.0095818574025,0.0084568495,0.0108472
"6","Gaza Strip","all","23","f",20,1052.72893190902,929.564053536214,1193.49231158086,95352.4136524491,0.0110404015125,0.00974872075,0.012516645
"7","Gaza Strip","all","23","f",25,1148.08416745464,1014.85511394514,1298.17733728488,94173.1324618342,0.0121912071675,0.0107764825,0.0137850075
"8","Gaza Strip","all","23","f",30,1796.30452123593,1533.69104331748,2111.94964903182,87596.690949135,0.020506534,0.01750855,0.024109925
"9","Gaza Strip","all","23","f",35,1191.70562205348,1009.43691734261,1416.12192951173,66414.3870212199,0.017943485975,0.01519907,0.0213225175
"10","Gaza Strip","all","23","f",40,922.377392418011,779.921636842689,1093.18704992623,50872.2208847659,0.0181312586,0.0153309925,0.02148888
"11","Gaza Strip","all","23","f",45,815.400373346738,633.69584081689,1064.52716919423,41994.6524437188,0.0194167668,0.0150899175,0.0253491125
"12","Gaza Strip","all","23","f",50,826.956991730307,652.364641053911,1070.05239112621,31771.8498306141,0.026027977475,0.0205327875,0.03367926
"13","Gaza Strip","all","23","f",55,723.355632967708,580.040642393667,923.683475881001,27282.4756544445,0.02651356285,0.0212605575,0.0338562925
"14","Gaza Strip","all","23","f",60,823.838802700673,661.730572668596,1043.73455223339,20598.9697152355,0.03999417515,0.03212445,0.05066926
"15","Gaza Strip","all","23","f",65,679.651364677177,567.403907740023,832.835831034199,14318.8229710804,0.0474655889,0.039626435,0.0581637075
"16","Gaza Strip","all","23","f",70,544.164176828889,483.385937617978,625.760337006905,10371.9965031146,0.052464747425,0.0466049075,0.060331715
"17","Gaza Strip","all","23","f",75,435.345447174387,391.078789075906,498.174955020094,6723.8084828927,0.06474685415,0.058163285,0.0740911875
"18","Gaza Strip","all","23","f",80,802.641509577759,743.202856107705,883.463849143771,4393.20548993528,0.1827006525,0.169170975,0.201097775
"19","Gaza Strip","all","23","m",0,805.487181769658,751.996875455272,865.802266325125,35014.4307293542,0.0230044346,0.02147677,0.0247270125
"20","Gaza Strip","all","23","m",1,1717.99176901097,1530.89919103666,1928.91573191525,137990.327515304,0.01245008835,0.01109425,0.01397863
"21","Gaza Strip","all","23","m",5,1971.64494184607,1763.24044557596,2209.56132862756,147226.279486462,0.0133919362,0.0119763975,0.0150079275
"22","Gaza Strip","all","23","m",10,1949.02135108919,1734.58324378286,2196.91602378189,142530.666351917,0.01367440005,0.012169895,0.0154136375
"23","Gaza Strip","all","23","m",15,2107.49426362565,1880.62523377892,2363.94583246078,122988.364870762,0.01713572065,0.0152910825,0.01922089
"24","Gaza Strip","all","23","m",20,2341.59188341513,2101.49216734684,2624.92970225489,99623.9693056929,0.023504302225,0.0210942425,0.026348375
"25","Gaza Strip","all","23","m",25,2406.11302011192,2167.64354844723,2684.09663382606,96822.8052721822,0.02485068485,0.0223877375,0.02772174
"26","Gaza Strip","all","23","m",30,2494.27362967918,2199.97106996569,2850.25084272597,89231.8484809371,0.02795272845,0.02465455,0.03194208
"27","Gaza Strip","all","23","m",35,1677.51276341698,1468.69567487327,1916.09139570131,66459.2537044691,0.0252412218,0.02209919,0.02883107
"28","Gaza Strip","all","23","m",40,1154.13153487882,1008.39418748934,1326.9192128174,50003.3006379917,0.02308110705,0.0201665525,0.0265366325
"29","Gaza Strip","all","23","m",45,627.445671414141,562.325353393809,700.511951349055,41944.9208426058,0.01495879975,0.01340628,0.0167007575
"30","Gaza Strip","all","23","m",50,636.351192738705,573.714842130411,707.238650362046,32119.0159938938,0.019812287925,0.017862155,0.0220193125
"31","Gaza Strip","all","23","m",55,646.766218342984,591.313370856017,709.796142110866,28733.3007370737,0.022509290675,0.020579375,0.02470291
"32","Gaza Strip","all","23","m",60,976.293220490868,843.512412244591,1143.65704994723,21455.2393252748,0.045503720825,0.039314985,0.053304325
"33","Gaza Strip","all","23","m",65,750.383879957642,652.370422693587,876.270056748705,13679.1097417456,0.0548561927,0.047691,0.0640589975
"34","Gaza Strip","all","23","m",70,738.601541156439,659.802378462448,839.227102323949,9415.62176254364,0.078444266325,0.070075285,0.0891313525
"35","Gaza Strip","all","23","m",75,391.11573582281,342.340205924302,454.496072925826,5409.67221954372,0.072299340875,0.063282985,0.084015455
"36","Gaza Strip","all","23","m",80,786.194264920445,745.697535788834,838.834399778394,3108.7122638576,0.25290030025,0.23987345,0.2698334
"37","Gaza Strip","all","23","t",0,1628.3454415081,1514.08335420991,1763.64270129204,68785.6123186835,0.0236727621753802,0.0220116286411054,0.0256397034473007
"38","Gaza Strip","all","23","t",1,3732.56211773763,3288.29632714957,4268.96748634485,271066.804279094,0.0137698975264213,0.0121309443843367,0.0157487653189339
"39","Gaza Strip","all","23","t",5,4437.70248603011,3907.80159446199,5079.42309533212,288445.299155739,0.0153849013973151,0.0135478082184035,0.0176096580883768
"40","Gaza Strip","all","23","t",10,4083.34706939342,3580.05711703484,4687.04917268643,278943.761483375,0.014638603307272,0.0128343329780767,0.0168028463793616
"41","Gaza Strip","all","23","t",15,3235.71294318809,2902.96657084932,3617.50571332991,240733.665408012,0.0134410487943345,0.012058830932222,0.015027003835125
"42","Gaza Strip","all","23","t",20,3394.32081532415,3050.92991005156,3795.23535963082,194976.382958142,0.017408881854439,0.0156476895496956,0.0194651029116977
"43","Gaza Strip","all","23","t",25,3554.19718756656,3211.40040757726,3956.12920549856,190995.937734016,0.0186087580172317,0.0168139723057854,0.0207131588893159
"44","Gaza Strip","all","23","t",30,4290.57815091511,3760.48482130266,4938.84000597338,176828.539430072,0.0242640592109389,0.0212662776801918,0.0279301068814544
"45","Gaza Strip","all","23","t",35,2869.21838547046,2504.47793976194,3298.49047076601,132873.640725689,0.0215935859798846,0.0188485686557826,0.0248242650141241
"46","Gaza Strip","all","23","t",40,2076.50892729683,1810.8746121923,2397.10075816217,100875.521522758,0.0205848643551089,0.017951576208543,0.0237629577718851
"47","Gaza Strip","all","23","t",45,1442.84604476088,1210.79769464298,1744.64645624907,83939.5732863246,0.0171891038788012,0.0144246348562299,0.0207845523624232
"48","Gaza Strip","all","23","t",50,1463.30818446901,1242.78879435525,1760.22517997025,63890.865824508,0.0229032454887738,0.0194517444444857,0.0275504981385781
"49","Gaza Strip","all","23","t",55,1370.12185131069,1191.55431147274,1611.41183808097,56015.7763915182,0.0244595708490109,0.0212717628538156,0.0287671070881554
"50","Gaza Strip","all","23","t",60,1800.13202319154,1524.34789585832,2168.26870770977,42054.2090405103,0.0428050381700794,0.0362472135521544,0.0515588987922968
"51","Gaza Strip","all","23","t",65,1430.03524463482,1234.89912811923,1689.52814041434,27997.9327128259,0.0510764583693608,0.0441067967690887,0.060344746083355
"52","Gaza Strip","all","23","t",70,1282.76571798533,1158.88654646524,1447.36313419517,19787.6182656582,0.0648266861005497,0.0585662473829156,0.0731448886249789
