"","year","region","cause","sex","dts_m","dts_l","dts_u","pop","mx_m","mx_l","mx_u"
"1","23","Gaza Strip","noconflict","f",2678.85196882062,2678.82641277945,2678.87496621392,1114089.69975155,0.00240452090116086,0.00240449796221692,0.00240454154347836
"2","23","Gaza Strip","noconflict","m",3254.27184191133,3254.24574060286,3254.29859831671,1143756.83924161,0.0028452479847632,0.00284522516408352,0.00284527137820179
"3","24","Gaza Strip","noconflict","f",2498.35465945877,2498.32989628479,2498.37939425284,1057394.00000002,0.00236274714955705,0.00236272373049662,0.00236277054177799
"4","24","Gaza Strip","noconflict","m",2999.66073330049,2999.63318130366,2999.68401430932,1072330.00000112,0.00279732986421844,0.00279730417063827,0.0027973515748941
"5","23_24","Gaza Strip","noconflict","f",2588.60319616545,2588.57974988522,2588.63027238126,1085741.84987578,0.00238417925629523,0.00238415766158537,0.00238420419428193
"6","23_24","Gaza Strip","noconflict","m",3126.96595262262,3126.93799140472,3126.9951591681,1108043.41962136,0.00282206084820318,0.00282203561343583,0.00282208720686834
"7","23","Palestine","noconflict","f",6555.5368142056,6555.52338224941,6555.55017121927,2729892.46321883,0.00240139012892689,0.0024013852086026,0.00240139502179862
"8","23","Palestine","noconflict","m",8031.35605006278,8031.32865737308,8031.38066938813,2818786.75350898,0.00284922441900399,0.00284921470110332,0.00284923315301884
"9","24","Palestine","noconflict","f",6469.55966943646,6469.54683952632,6469.57271018917,2708080.00000775,0.00238898395520736,0.00238897921756662,0.00238898877070495
"10","24","Palestine","noconflict","m",7924.10009026455,7924.05646638647,7924.14372585796,2782235.00000188,0.00284810596166722,0.00284809028223034,0.00284812164531487
"11","23_24","Palestine","noconflict","f",6512.54776900826,6512.49801064566,6512.60033223281,2718986.23161329,0.00239521174961746,0.0023951934492811,0.00239523108153755
"12","23_24","Palestine","noconflict","m",7977.72790273363,7977.68199968658,7977.77056803071,2800510.87675543,0.002848668780025,0.00284865238907025,0.00284868401485142
"13","23","Gaza Strip","noconflict","t",5933.12381073194,5933.08727677504,5933.15961456424,2257846.53899316,0.00262777992581272,0.00262776374492696,0.00262779578332636
"14","24","Gaza Strip","noconflict","t",5498.01539275926,5497.97741783228,5498.05120753941,2129724.00000114,0.00258156239623365,0.00258154456531896,0.00258157921286349
"15","23_24","Gaza Strip","noconflict","t",5715.56914878807,5715.53204810975,5715.60915942911,2193785.26949715,0.00260534575934051,0.00260532884762229,0.00260536399751614
"16","23","Palestine","noconflict","t",14586.8928642684,14586.860696455,14586.9211727429,5548679.21672781,0.00262889460617812,0.00262888880879605,0.0026288997080183
"17","24","Palestine","noconflict","t",14393.659759701,14393.6135763433,14393.7039571315,5490315.00000963,0.0026216455266548,0.00262163711486829,0.0026216535767267
"18","23_24","Palestine","noconflict","t",14490.2756717419,14490.2061648809,14490.3418505608,5519497.10836872,0.00262528911370776,0.00262527652073785,0.00262530110371657
"19","23","Gaza Strip","all","f",20328.5854845905,17729.4164800871,23656.7655748331,1114089.69975155,0.0182468121634407,0.0159138141965058,0.0212341659563937
"20","23","Gaza Strip","all","m",24178.4140636876,21959.7321373617,26768.9716354285,1143756.83924161,0.0211394705886258,0.0191996509956806,0.0234044254136904
"21","23","Gaza Strip","conflict","f",17551.7335157699,14952.5566891426,20879.8988941252,1114089.69975155,0.015754327070508,0.0134213220824833,0.0187416676581622
"22","23","Gaza Strip","conflict","m",20025.1422217763,17806.4799457147,22615.6927383045,1143756.83924161,0.0175082163749546,0.0155684139624657,0.0197731650315641
"23","24","Gaza Strip","all","f",18237.084460002,15839.9936323183,21380.4042428578,1057394.00000002,0.0172471987357614,0.0149802189461241,0.0202199031230151
"24","24","Gaza Strip","all","m",28001.8251049549,25171.3399951789,31453.2560936292,1072330.00000112,0.0261130669709191,0.0234735016227772,0.029331694621615
"25","24","Gaza Strip","conflict","f",15738.7298005432,13341.6439386582,18882.0599868963,1057394.00000002,0.0148844515862043,0.0126174764928285,0.0178571658122667
"26","24","Gaza Strip","conflict","m",25002.1643716544,22171.6905545091,28453.6139399342,1072330.00000112,0.0233157371067007,0.0206761822894874,0.0265343820837845
"27","23_24","Gaza Strip","all","f",30497.869764164,26278.2544487117,35999.746737347,1085741.84987578,0.0280894300681632,0.0242030409454311,0.0331568196818292
"28","23_24","Gaza Strip","all","m",48185.7960380821,43232.0864698727,54154.1982974627,1108043.41962136,0.0434872814411442,0.0390165996244496,0.0488737149993347
"29","23_24","Gaza Strip","conflict","f",27811.2665679985,23591.6628647474,33313.147800096,1085741.84987578,0.0256149899455201,0.0217286115179649,0.0306823834817708
"30","23_24","Gaza Strip","conflict","m",44159.8300854594,39206.1183031152,50128.2280865889,1108043.41962136,0.0398538805460796,0.0353831967311467,0.0452403102612337
"31","23","Palestine","all","f",24343.412743101,21691.8003822458,27615.2469881398,2729892.46321883,0.00891735226610264,0.00794602742580889,0.0101158735592018
"32","23","Palestine","all","m",29412.6458803716,27118.6808432817,32067.0927408516,2818786.75350898,0.0104345054991326,0.00962069259390511,0.0113762038582496
"33","23","Palestine","conflict","f",17689.8759288954,15038.2685677367,20961.715484353,2729892.46321883,0.00648006328719526,0.0055087402783643,0.00767858652557943
"34","23","Palestine","conflict","m",20482.2898303088,18188.3240795758,23136.7242552715,2818786.75350898,0.00726634954020958,0.00645253638180823,0.00820804348767059
"35","24","Palestine","all","f",22548.4390160909,20138.5346470099,25612.2164180108,2708080.00000775,0.00832635631740064,0.00743646223411136,0.009457703028691
"36","24","Palestine","all","m",33462.6215391496,30599.491136993,36851.9629504704,2782235.00000188,0.0120272448370203,0.0109981691470966,0.0132454530082633
"37","24","Palestine","conflict","f",16078.8793466544,13668.970503769,19142.6544163805,2708080.00000775,0.00593737236219328,0.00504747662688322,0.00706871821228533
"38","24","Palestine","conflict","m",25538.5214488851,22675.4138203578,28927.8560201003,2782235.00000188,0.00917913887535305,0.0081500713708017,0.010397344588103
"39","23_24","Palestine","all","f",34711.9525553133,30325.6938580924,40107.763383049,2718986.23161329,0.0127665054540262,0.0111533090920063,0.0147509990733757
"40","23_24","Palestine","all","m",53863.2687778064,48680.932032808,59859.6822662054,2800510.87675543,0.0192333724624596,0.0173828755449106,0.0213745580361954
"41","23_24","Palestine","conflict","f",28101.404786305,23715.1599332718,33497.2125102208,2718986.23161329,0.0103352508591525,0.00872205958880512,0.0123197433369662
"42","23_24","Palestine","conflict","m",44986.5408750727,39804.2164717021,50982.9467043002,2800510.87675543,0.01606369082458,0.0142131983139511,0.0182048736633964
"43","23","Gaza Strip","all","t",44506.9995482781,39737.105597265,50407.7751076795,2257846.53899316,0.0197121455243478,0.0175995599838176,0.0223255984129718
"44","23","Gaza Strip","conflict","t",37576.8757375462,32806.9596391085,43477.6319410304,2257846.53899316,0.0166427944010326,0.0145301990514104,0.0192562387169229
"45","24","Gaza Strip","all","t",46238.9095649568,41048.8311501411,52858.0967311146,2129724.00000114,0.0217112215314905,0.0192742492220209,0.0248192238670768
"46","24","Gaza Strip","conflict","t",40740.8941721976,35550.8541192337,47360.1183578289,2129724.00000114,0.0191296591352569,0.0166927048383803,0.0222376788531301
"47","23_24","Gaza Strip","all","t",78683.665802246,69498.5661679428,90142.7745432494,2193785.26949715,0.0358666214493644,0.0316797487585798,0.0410900628227446
"48","23_24","Gaza Strip","conflict","t",71971.096653458,62785.9755333067,83430.2083539207,2193785.26949715,0.0328068100621147,0.0286199275773687,0.0380302527845145
"49","23","Palestine","all","t",53756.0586234726,48814.7034700011,59648.3563811624,5548679.21672781,0.00968808188828292,0.0087975356951322,0.0107500098764654
"50","23","Palestine","conflict","t",38172.1657592042,33230.8223988595,44064.465835128,5548679.21672781,0.00687950488183298,0.00598896081407577,0.00794143328781472
"51","24","Palestine","all","t",56011.0605552405,50754.9701125305,62426.0338541254,5490315.00000963,0.0102017936229783,0.00924445502898131,0.0113702098793996
"52","24","Palestine","conflict","t",41617.4007955395,36361.3287345238,48032.365443966,5490315.00000963,0.00758014809632353,0.00662281285034831,0.00874856277715974
"53","23_24","Palestine","all","t",88575.2213331196,79067.2722352167,99939.4047641683,5519497.10836872,0.0160476977510906,0.0143250862683367,0.0181066142081385
"54","23_24","Palestine","conflict","t",73087.9456613777,63579.9875355085,84452.1192182067,5519497.10836872,0.0132417762390999,0.0115191631206959,0.0153006909071769
"55","23","West Bank","all","f",4040.0373603119,3910.17421997612,4173.41823881198,1615727.69762065,0.00250044445376615,0.00242007005619469,0.00258299603637285
"56","23","West Bank","all","m",5385.05854374846,5235.92810872576,5520.04738311921,1674920.58210599,0.00321511276491537,0.00312607544779363,0.00329570693804388
"57","23","West Bank","all","t",9425.09590406036,9218.76351610883,9613.38605378919,3290648.27972664,0.00286420641249551,0.00280150375623694,0.00292142618614584
"58","23","West Bank","conflict","f",2.24936031190277,0,5.83929726041219,1615727.69762065,1.39216547145613e-06,0,3.61403550178117e-06
"59","23","West Bank","conflict","m",341.295543748458,307.157054970864,379.909911949084,1674920.58210599,0.000203768194978728,0.000183386041256149,0.000226822642224264
"60","23","West Bank","conflict","t",343.544904060361,309.483269363564,382.963583191154,3290648.27972664,0.000104400371858915,9.40493310300767e-05,0.000116379372888483
"61","23","West Bank","noconflict","f",4034.788,3905,4168.025,1615727.69762065,0.00249719553978167,0.00241686764777912,0.00257965807365802
"62","23","West Bank","noconflict","m",4852.763,4707.975,4982.025,1674920.58210599,0.00289730931236052,0.00281086461668549,0.00297448431479405
"63","23","West Bank","noconflict","t",8887.551,8690.95,9076.05,3290648.27972664,0.00270085109209493,0.00264110572179472,0.0027581343335648
"64","24","West Bank","all","f",4143.79151231401,4014.11501603878,4262.68822878898,1650686.00014804,0.00251034510012345,0.00243178594576968,0.00258237376969738
"65","24","West Bank","all","m",5510.32837099014,5353.65483447067,5660.40704572097,1709905.00004871,0.0032225932849095,0.00313096624333994,0.00331036346788841
"66","24","West Bank","all","t",9654.11988330415,9467.30581158744,9843.50774106916,3360591.00019674,0.00287274466983306,0.00281715502155221,0.00292910019115473
"67","24","West Bank","conflict","f",14.8885123140109,7.2638389059379,22.7856489020056,1650686.00014804,9.01959083234222e-06,4.40049706927087e-06,1.38037451701669e-05
"68","24","West Bank","conflict","m",540.046370990135,487.61351311533,603.335679248275,1709905.00004871,0.000315834137554281,0.00028516994400358,0.000352847485229349
"69","24","West Bank","conflict","t",554.934883304146,500.716921793342,619.665509118575,3360591.00019674,0.000165130146236676,0.000148996685929358,0.000184391825450433
"70","24","West Bank","noconflict","f",4128.903,4002,4252.025,1650686.00014804,0.00250132550929111,0.00242444656321135,0.00257591389253841
"71","24","West Bank","noconflict","m",4970.282,4825.95,5102.025,1709905.00004871,0.00290675914735522,0.00282234977958573,0.00298380611779875
"72","24","West Bank","noconflict","t",9099.185,8918.925,9277.05,3360591.00019674,0.00270761452359638,0.00265397514885859,0.00276054122606913
"73","23_24","West Bank","all","f",4099.05712549322,3978.92403437921,4219.74768227694,1633206.84888435,0.00250982117071901,0.00243626460242757,0.00258371907095508
"74","23_24","West Bank","all","m",5702.99060845304,5534.99259480688,5857.23981361789,1692412.79107735,0.00336973972220019,0.00327047433344169,0.00346088131955639
"75","23_24","West Bank","all","t",9802.04773394626,9608.90490391505,9999.69070154795,3325619.63996169,0.00294743500313799,0.00288935775710831,0.00300686542182651
"76","23_24","West Bank","conflict","f",14.0171254932169,6.28399568864455,22.4700396445863,1633206.84888435,8.58257819748435e-06,3.84764225850338e-06,1.37582325594188e-05
"77","23_24","West Bank","conflict","m",787.680608453044,709.940497222508,875.008895361841,1692412.79107735,0.000465418727987529,0.000419484242240084,0.000517018602066244
"78","23_24","West Bank","conflict","t",801.697733946261,722.687131739453,892.366186362181,3325619.63996169,0.000241067175666396,0.000217309016056862,0.000268330802368144
"79","23_24","West Bank","noconflict","f",4085.04,3964,4206.025,1633206.84888435,0.00250123859252153,0.00242712673089011,0.0025753167780757
"80","23_24","West Bank","noconflict","m",4915.31,4775.975,5049.05,1692412.79107735,0.00290432099421267,0.00282199178898886,0.00298334426838378
"81","23_24","West Bank","noconflict","t",9000.35,8817.9,9182.125,3325619.63996169,0.0027063678274716,0.00265150587097855,0.00276102681427085
