"","year","region","sex","bsn","mx_m","mx_l","mx_u","dts_m","dts_l","dts_u","cnf_m","cnf_l","cnf_u","psc_m","psc_l","psc_u"
"1","23","Gaza Strip","f",240.452090116086,1824.68121634407,1591.38141965058,2123.41659563937,20328.5854845905,17729.4164800871,23656.7655748331,17551.7335157699,14952.5566891426,20879.8988941252,7.6,6.6,8.8
"2","23","Gaza Strip","m",284.52479847632,2113.94705886258,1919.96509956806,2340.44254136904,24178.4140636876,21959.7321373617,26768.9716354285,20025.1422217763,17806.4799457147,22615.6927383045,7.4,6.7,8.2
"3","23","Gaza Strip","t",262.777992581272,1971.21455243478,1759.95599838176,2232.55984129718,44506.9995482781,39737.105597265,50407.7751076795,37576.8757375462,32806.9596391085,43477.6319410304,7.5,6.7,8.5
"4","23_24","Gaza Strip","f",238.417925629523,2808.94300681632,2420.30409454311,3315.68196818292,30497.869764164,26278.2544487117,35999.746737347,27811.2665679985,23591.6628647474,33313.147800096,11.8,10.2,13.9
"5","23_24","Gaza Strip","m",282.206084820318,4348.72814411442,3901.65996244496,4887.37149993347,48185.7960380821,43232.0864698727,54154.1982974627,44159.8300854594,39206.1183031152,50128.2280865889,15.4,13.8,17.3
"6","23_24","Gaza Strip","t",260.534575934051,3586.66214493644,3167.97487585798,4109.00628227446,78683.665802246,69498.5661679428,90142.7745432494,71971.096653458,62785.9755333067,83430.2083539207,13.8,12.2,15.8
"7","23_25","Gaza Strip","f",NA,NA,NA,NA,43291.2898570212,38299.1481175578,49245.6729997281,38118.1707330571,33126.0204246093,44072.5591713676,NA,NA,NA
"8","23_25","Gaza Strip","m",NA,NA,NA,NA,80959.8275017564,73833.1009928851,89012.2918541407,73951.2737746145,66824.5145499511,82003.7145192888,NA,NA,NA
"9","23_25","Gaza Strip","t",NA,NA,NA,NA,124251.117358778,112178.48392571,138097.161363148,112069.444507672,99996.7846686803,125915.491684909,NA,NA,NA
"10","24","Gaza Strip","f",236.274714955705,1724.71987357614,1498.02189461241,2021.99031230151,18237.084460002,15839.9936323183,21380.4042428578,15738.7298005432,13341.6439386582,18882.0599868963,7.3,6.3,8.6
"11","24","Gaza Strip","m",279.732986421844,2611.30669709191,2347.35016227772,2933.1694621615,28001.8251049549,25171.3399951789,31453.2560936292,25002.1643716544,22171.6905545091,28453.6139399342,9.3,8.4,10.5
"12","24","Gaza Strip","t",258.156239623365,2171.12215314905,1927.42492220209,2481.92238670768,46238.9095649568,41048.8311501411,52858.0967311146,40740.8941721976,35550.8541192337,47360.1183578289,8.4,7.5,9.6
"13","24_25","Gaza Strip","f",235.155100917783,1209.90095393552,1020.26537053712,1464.73859426943,12793.4200928572,10788.2248121375,15488.0580114895,10306.9041650586,8301.71315455731,13001.557692226,5.1,4.3,6.2
"14","24_25","Gaza Strip","m",278.140849786548,3056.33820406406,2659.71881020763,3550.79578603984,32774.0314636743,28520.9627175292,38076.2484524807,29791.4436891551,25538.3725153615,35093.6576959781,11,9.6,12.8
"15","24_25","Gaza Strip","t",256.798707359024,2139.59421767831,1845.62077852511,2512.83440401766,45567.4515565315,39306.628669257,53516.4373826497,40098.3478542137,33837.5286737721,48047.3572309836,8.3,7.2,9.8
