"x","n","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","ax","X1.1","X2.1","X3.1","X4.1","X5.1","X6.1","X7.1","X8.1","X9.1","X10.1","X11.1","X12.1","X13.1","X14.1","X15.1","X16.1","X17.1","X18.1","X1.2","X2.2","X3.2","X4.2","X5.2","X6.2","X7.2","X8.2","X9.2","X10.2","X11.2","X12.2","X13.2","X14.2","X15.2","X16.2","X17.2","X18.2","lx","dx","Lx","Tx","ex","year","sex","scenario","bmmr_lss"
0,1,0.0728314,0.00628692,0.0158213,0.0132231,0.0135904,0.0132558,0.014242,0.0172654,0.0221702,0.0220595,0.0211483,0.0257114,0.0360821,0.0608965,0.134202,0.364311,0.712688,3.52192,0.31411,0.0693662552666572,0.0248354036086889,0.0760966309325665,0.0639998102719814,0.0657191269429851,0.0641530016033653,0.0687617383075594,0.082755004368922,0.105029677603962,0.104532654756024,0.100431605683794,0.120792630876223,0.165483059267968,0.264252386381758,0.502439152230804,0.953305656990414,1.28102037588255,1,0.930633744733343,0.975164596391311,0.923903369067434,0.936000189728019,0.934280873057015,0.935846998396635,0.931238261692441,0.917244995631078,0.894970322396038,0.895467345243976,0.899568394316206,0.879207369123777,0.834516940732032,0.735747613618242,0.497560847769196,0.0466943430095864,-0.281020375882548,0,1e+05,6936.62552666572,95242.2379175152,4045879.28302622,40.4587928302622,2024,"Females","UN-IGME pattern",37.8345671697378
0,1,0.0733915,0.00952406,0.0174664,0.0145576,0.0162091,0.0139271,0.0218267,0.0183643,0.0170326,0.0249169,0.0268354,0.0278548,0.0376116,0.0549338,0.142907,0.364577,0.718442,3.50459,0.31411,0.069874140845107,0.0373841423700384,0.0836781115797583,0.0702319774139951,0.0778892148201469,0.0672925256645434,0.103486573988797,0.0877909515701985,0.0816847411928947,0.117278931480485,0.125741210780549,0.130206789780084,0.171894894925089,0.241502390018064,0.526451123304728,0.953669806965158,1.28471927914009,1,0.930125859154893,0.962615857629962,0.916321888420242,0.929768022586005,0.922110785179853,0.932707474335457,0.896513426011203,0.912209048429802,0.918315258807105,0.882721068519515,0.874258789219451,0.869793210219916,0.828105105074911,0.758497609981936,0.473548876695272,0.0463301930348415,-0.28471927914009,0,1e+05,6987.4140845107,95207.402553575,3829050.51921912,38.2905051921912,2024,"Females","UN-IGME pattern",40.0028548078089
0,1,0.0668182,0.00698238,0.0144779,0.0132025,0.012678,0.0127134,0.0183082,0.0138603,0.0229805,0.0209984,0.0264183,0.0248179,0.0372019,0.0557196,0.141153,0.3705,0.718288,3.51346,0.305984084198,0.0638569675936794,0.0275448626044953,0.0698609021132369,0.0639032919694339,0.061442577505949,0.0616088549584288,0.0875345020728735,0.0669805729131304,0.108659855477971,0.0997552484760037,0.123907909205585,0.116840180227811,0.170181785577785,0.244534577841287,0.521675016122982,0.961713173264114,1.28462077747414,1,0.936143032406321,0.972455137395505,0.930139097886763,0.936096708030566,0.938557422494051,0.938391145041571,0.912465497927127,0.93301942708687,0.891340144522029,0.900244751523996,0.876092090794415,0.88315981977219,0.829818214422215,0.755465422158713,0.478324983877018,0.0382868267358858,-0.284620777474139,0,1e+05,6385.69675936793,95568.2248155134,4071471.05453746,40.7147105453746,2024,"Females","UN-IGME pattern",37.5786494546254
0,1,0.0651157,0.00595231,0.0138966,0.0139917,0.0134288,0.013046,0.0192954,0.0189996,0.0190441,0.0220948,0.0210249,0.0274336,0.0371572,0.0588175,0.135235,0.3698,0.722169,3.51665,0.299376868973,0.062274633712078,0.0235291345937328,0.0671501046396612,0.0675941087707797,0.0649630601448182,0.0631697195953961,0.0920372606043377,0.0906903013749894,0.0908930587496638,0.104691173641561,0.0998748530075062,0.128364265233243,0.169994683834557,0.25638734355163,0.505329434734276,0.960769030917121,1.28709490281767,1,0.937725366287922,0.976470865406267,0.932849895360339,0.93240589122922,0.935036939855182,0.936830280404604,0.907962739395662,0.909309698625011,0.909106941250336,0.895308826358439,0.900125146992494,0.871635734766757,0.830005316165443,0.74361265644837,0.494670565265724,0.0392309690828786,-0.287094902817668,0,1e+05,6227.46337120779,95636.8951145084,4061748.86712139,40.6174886712139,2024,"Females","UN-IGME pattern",37.6758713287862
0,1,0.0647684,0.00860524,0.01469,0.0156368,0.0139805,0.0139767,0.0201634,0.0223217,0.017375,0.028432,0.0252139,0.0337739,0.0391525,0.0552476,0.139159,0.369221,0.72726,3.50546,0.298029035876,0.061951731317576,0.0338385817652999,0.0708481034025417,0.075242615668295,0.0675418286610118,0.0675240901239128,0.0959788501330673,0.105709462715271,0.0832584606169512,0.132725846808828,0.118593959416661,0.155721217897158,0.178309357227842,0.242714514035878,0.516207649320516,0.959986791832256,1.2903145680677,1,0.938048268682424,0.9661614182347,0.929151896597458,0.924757384331705,0.932458171338988,0.932475909876087,0.904021149866933,0.894290537284729,0.916741539383049,0.867274153191172,0.881406040583339,0.844278782102842,0.821690642772158,0.757285485964122,0.483792350679484,0.0400132081677437,-0.290314568067704,0,1e+05,6195.1731317576,95651.168343785,3889390.2269191,38.893902269191,2024,"Females","UN-IGME pattern",39.399457730809
0,1,0.0663693,0.00697501,0.0144347,0.0137721,0.014242,0.0158185,0.0132054,0.0224024,0.0226415,0.0227787,0.0196239,0.0260014,0.0414669,0.0537051,0.138602,0.363529,0.718524,3.50453,0.304241952677,0.0634398401162163,0.0275161886184489,0.0696597075486198,0.0665685289075798,0.0687617383075594,0.0760836759307246,0.0639168800794956,0.106071367018748,0.107142814891581,0.107757084261814,0.0935308975489718,0.122071899294228,0.187859610765835,0.236740120399793,0.514673172398172,0.9522336414203,1.28477171701278,1,0.936560159883784,0.972483811381551,0.93034029245138,0.93343147109242,0.931238261692441,0.923916324069275,0.936083119920504,0.893928632981252,0.892857185108419,0.892242915738186,0.906469102451028,0.877928100705772,0.812140389234165,0.763259879600207,0.485326827601828,0.0477663585797002,-0.284771717012777,0,1e+05,6343.98401162162,95586.1220718258,4005795.84096612,40.0579584096612,2024,"Females","UN-IGME pattern",38.2354015903389
0,1,0.065708,0.00862374,0.0159401,0.0142453,0.0158068,0.0173707,0.0226168,0.0174663,0.0173493,0.02124,0.022981,0.0261865,0.0342023,0.0524467,0.142617,0.358413,0.719559,3.52279,0.30167552012,0.0628252324854407,0.0339100962923988,0.0766461324599383,0.068777123120045,0.076029540642433,0.0832387132110615,0.107032186131739,0.0836776525434508,0.0831404293717517,0.100845123919856,0.108662091205042,0.122887515207544,0.157540851349705,0.231835926751151,0.525663589603717,0.945165760608006,1.28543292492848,1,0.937174767514559,0.966089903707601,0.923353867540062,0.931222876879955,0.923970459357567,0.916761286788939,0.892967813868261,0.916322347456549,0.916859570628248,0.899154876080144,0.891337908794958,0.877112484792456,0.842459148650295,0.768164073248849,0.474336410396283,0.0548342393919935,-0.285432924928476,0,1e+05,6282.52324854406,95612.7602201265,3908092.2300378,39.080922300378,2024,"Females","UN-IGME pattern",39.212437699622
0,1,0.0688145,0.00621068,0.015419,0.0128858,0.0122064,0.0136997,0.0173779,0.0148734,0.0165183,0.022479,0.021748,0.0276058,0.0367419,0.0580742,0.133773,0.354173,0.720834,3.49862,0.313731504905,0.0657112705703284,0.0245379255925616,0.0742334847467256,0.0624182279942783,0.0592246990827896,0.0662301664709933,0.0832717784051336,0.0717009092412288,0.0793160828707886,0.106414756709801,0.10313267638495,0.129117986706448,0.168254522865793,0.253558048019295,0.501235543948457,0.939235427415195,1.28624577769768,1,0.934288729429672,0.975462074407438,0.925766515253274,0.937581772005722,0.94077530091721,0.933769833529007,0.916728221594866,0.928299090758771,0.920683917129211,0.893585243290199,0.89686732361505,0.870882013293552,0.831745477134207,0.746441951980705,0.498764456051543,0.0607645725848047,-0.286245777697679,0,1e+05,6571.12705703285,95490.442523492,4105103.38721852,41.0510338721852,2024,"Females","UN-IGME pattern",37.2423261278148
0,1,0.0666413,0.00613289,0.0154347,0.0131206,0.0132889,0.0124622,0.0173184,0.0155123,0.0167759,0.0197178,0.0194954,0.0248886,0.0389197,0.0562262,0.137902,0.358147,0.714052,3.51135,0.305297554757,0.063692595614606,0.0242343073179852,0.0743062628133856,0.0635194662285057,0.0643080421467888,0.06042832531078,0.0829984970708217,0.074665900383695,0.080503215277083,0.0939574161496129,0.0929469071651322,0.117153531537443,0.17734314499896,0.246483871377838,0.512740238928281,0.944795666275801,1.28190066531903,1,0.936307404385394,0.975765692682015,0.925693737186614,0.936480533771494,0.935691957853211,0.93957167468922,0.917001502929178,0.925334099616305,0.919496784722917,0.906042583850387,0.907053092834868,0.882846468462557,0.82265685500104,0.753516128622162,0.487259761071719,0.0552043337241985,-0.281900665319034,0,1e+05,6369.2595614606,95575.259808266,4130843.54115392,41.3084354115392,2024,"Females","UN-IGME pattern",36.9849245884608
0,1,0.0694134,0.00707789,0.0138634,0.0119304,0.0130724,0.0146844,0.0159639,0.0189537,0.02236,0.0218521,0.0183668,0.0239677,0.0326146,0.058622,0.134219,0.360545,0.721904,3.51183,0.31411,0.0662588204141163,0.0279163818402731,0.0669950519905843,0.057924348385067,0.0632935049642629,0.0708220516614563,0.0767561800435086,0.0904811199901087,0.10588123875367,0.103600764343712,0.0878023782001822,0.113063801794335,0.150779007458371,0.255644081618413,0.502486807844723,0.948122727780736,1.28692651064619,1,0.933741179585884,0.972083618159727,0.933004948009416,0.942075651614933,0.936706495035737,0.929177948338544,0.923243819956491,0.909518880009891,0.89411876124633,0.896399235656288,0.912197621799818,0.886936198205665,0.849220992541629,0.744355918381587,0.497513192155277,0.0518772722192637,-0.286926510646187,0,1e+05,6625.88204141163,95455.3737666162,4084568.24223232,40.8456824223232,2024,"Females","UN-IGME pattern",37.4476775776768
