"x","n","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","ax","X1.1","X2.1","X3.1","X4.1","X5.1","X6.1","X7.1","X8.1","X9.1","X10.1","X11.1","X12.1","X13.1","X14.1","X15.1","X16.1","X17.1","X18.1","X1.2","X2.2","X3.2","X4.2","X5.2","X6.2","X7.2","X8.2","X9.2","X10.2","X11.2","X12.2","X13.2","X14.2","X15.2","X16.2","X17.2","X18.2","lx","dx","Lx","Tx","ex","year","sex","scenario","bmmr_lss"
0,1,0.030893,0.00721135,0.0090203,0.00693473,0.00653452,0.0067014,0.00627268,0.00651467,0.00770388,0.00854843,0.00962413,0.0107797,0.0158241,0.0226663,0.0422617,0.138003,0.215099,0.930968,0.16656233477,0.0301175516578852,0.0284352863949121,0.0441068572880124,0.0340827631006083,0.0321474299402668,0.0329548902462593,0.0308791622414778,0.0320513402382256,0.0377915461584521,0.0418478171608688,0.0469900540283113,0.0524840930552313,0.0761095857599403,0.107253878532544,0.191116255375494,0.513019444129494,0.699396357334348,1,0.969882448342115,0.971564713605088,0.955893142711988,0.965917236899392,0.967852570059733,0.967045109753741,0.969120837758522,0.967948659761774,0.962208453841548,0.958152182839131,0.953009945971689,0.947515906944769,0.92389041424006,0.892746121467456,0.808883744624506,0.486980555870506,0.300603642665652,0,1e+05,3011.75516578852,97489.8898063808,5472476.24985751,54.7247624985751,2024,"Females","UN-IGME",25.0569375014249
0,1,0.031983,0.00561437,0.00841414,0.0076514,0.00646665,0.00638757,0.00571509,0.00671905,0.00692877,0.00849507,0.00829316,0.0102633,0.0137364,0.0256688,0.0468764,0.142195,0.209511,0.932882,0.17079250487,0.0311567071971704,0.0222081108968481,0.0412039602742452,0.0375389364540389,0.0318188466384634,0.0314358532176562,0.0281729230233956,0.0330402522330833,0.0340539696910592,0.0415920319430048,0.0406235558783302,0.0500327472625507,0.0664016992461867,0.120604563923877,0.209795818262052,0.524516087385535,0.687472416412501,1,0.96884329280283,0.977791889103152,0.958796039725755,0.962461063545961,0.968181153361537,0.968564146782344,0.971827076976604,0.966959747766917,0.965946030308941,0.958407968056995,0.95937644412167,0.949967252737449,0.933598300753813,0.879395436076123,0.790204181737948,0.475483912614465,0.312527583587499,0,1e+05,3115.67071971703,97416.4624868536,5524743.26812818,55.2474326812818,2024,"Females","UN-IGME",24.5342673187182
0,1,0.0293394,0.00528794,0.00688092,0.00723602,0.00649319,0.00548932,0.00610442,0.00624502,0.00687766,0.00698507,0.00704231,0.0108516,0.014659,0.0261212,0.0397871,0.14089,0.216541,0.933822,0.160532984066,0.028634156235391,0.0209304025740254,0.0338227705540973,0.0355372297371927,0.0319473494746616,0.0270750410886284,0.0300633024383236,0.0307450907336661,0.03380701707732,0.0343259274842687,0.0346023488319924,0.0528249129369339,0.0707038795733362,0.12259986126013,0.180938003865961,0.520956201815526,0.702438280665844,1,0.971365843764609,0.979069597425975,0.966177229445903,0.964462770262807,0.968052650525338,0.972924958911372,0.969936697561676,0.969254909266334,0.96619298292268,0.965674072515731,0.965397651168008,0.947175087063066,0.929296120426664,0.87740013873987,0.819061996134039,0.479043798184474,0.297561719334156,0,1e+05,2863.4156235391,97596.2570311288,5636475.02070769,56.3647502070769,2024,"Females","UN-IGME",23.4169497929231
0,1,0.0344966,0.0074238,0.00839665,0.00742872,0.00688644,0.00639492,0.00637115,0.00689588,0.00815023,0.00817366,0.00907581,0.0123728,0.0163579,0.0240938,0.0431366,0.142161,0.21366,0.943139,0.180547509974,0.0335482472513216,0.0292607481162689,0.0411200728507445,0.0364663541637418,0.0338494445772142,0.0314714563853308,0.0313563106042346,0.0338950593454031,0.0399374024608537,0.0400499140488389,0.0443722643976431,0.0600078375683362,0.0785761480687649,0.113624863178853,0.194687597458662,0.524423556840127,0.69634651109735,1,0.966451752748678,0.970739251883731,0.958879927149256,0.963533645836258,0.966150555422786,0.968528543614669,0.968643689395765,0.966104940654597,0.960062597539146,0.959950085951161,0.955627735602357,0.939992162431664,0.921423851931235,0.886375136821147,0.805312402541338,0.475576443159873,0.30365348890265,0,1e+05,3354.82472513216,97250.8805253897,5427371.05684116,54.2737105684116,2024,"Females","UN-IGME",25.5079894315884
0,1,0.0324817,0.00591113,0.00889795,0.00769473,0.00709966,0.0070944,0.00687041,0.007631,0.00865213,0.00908116,0.01022,0.0109092,0.0148582,0.0251568,0.0463737,0.142649,0.211814,0.934965,0.172727904713,0.0316317176612998,0.0233682544204948,0.0435216170685131,0.037747507798298,0.034879223431432,0.034853832428056,0.0337719815997433,0.0374407245768845,0.0423447199455439,0.0443978402720868,0.0498269221393399,0.0530978620094172,0.0716302582424549,0.118341280205327,0.207779714620283,0.525750531190512,0.692413053640485,1,0.9683682823387,0.976631745579505,0.956478382931487,0.962252492201702,0.965120776568568,0.965146167571944,0.966228018400257,0.962559275423115,0.957655280054456,0.955602159727913,0.95017307786066,0.946902137990583,0.928369741757545,0.881658719794673,0.792220285379717,0.474249468809488,0.307586946359515,0,1e+05,3163.17176612998,97383.196265281,5402775.38960559,54.0277538960559,2024,"Females","UN-IGME",25.7539461039441
0,1,0.0391305,0.00690504,0.00936312,0.00835724,0.00749379,0.0069399,0.00702278,0.00791111,0.0083528,0.00902906,0.00927363,0.0112398,0.0162278,0.0253657,0.0439824,0.135595,0.221536,0.930977,0.198531166145,0.0379406112469993,0.0272439192950222,0.0457448145304345,0.0409310240220058,0.03677989792188,0.0341077392509312,0.0345080439969478,0.0387884017182077,0.040909723160953,0.0441487458128281,0.0453175055524589,0.0546629971126336,0.0779755701084839,0.119265375652057,0.198126772592787,0.506334077054491,0.712866189569068,1,0.962059388753001,0.972756080704978,0.954255185469565,0.959068975977994,0.96322010207812,0.965892260749069,0.965491956003052,0.961211598281792,0.959090276839047,0.955851254187172,0.954682494447541,0.945337002887366,0.922024429891516,0.880734624347943,0.801873227407213,0.493665922945509,0.287133810430932,0,1e+05,3794.06112469993,96959.1782548122,5321955.58707222,53.2195558707222,2024,"Females","UN-IGME",26.5621441292778
0,1,0.0307275,0.0069069,0.0086493,0.00789226,0.00664495,0.00659292,0.00576037,0.00624093,0.00709741,0.0087377,0.00811635,0.00989795,0.0165098,0.0243127,0.0397913,0.140173,0.207164,0.939134,0.165920047475,0.0299596581761035,0.0272511579542516,0.0423311626864404,0.0386977678860589,0.032681827230364,0.0324300777298336,0.0283929650399323,0.0307252644385193,0.0348683623410918,0.0427545587304523,0.0397746868019377,0.0482947035963464,0.0792768861621023,0.114598031121859,0.180955375879423,0.518992989283063,0.682398824699752,1,0.970040341823897,0.972748842045748,0.95766883731356,0.961302232113941,0.967318172769636,0.967569922270166,0.971607034960068,0.969274735561481,0.965131637658908,0.957245441269548,0.960225313198062,0.951705296403654,0.920723113837898,0.885401968878141,0.819044624120577,0.481007010716937,0.317601175300248,0,1e+05,2995.96581761034,97501.124973081,5497111.29621279,54.9711129621279,2024,"Females","UN-IGME",24.8105870378721
0,1,0.0317706,0.00499478,0.00885246,0.00803055,0.00657342,0.00669973,0.00714492,0.00649228,0.00780652,0.0079338,0.0103963,0.0121175,0.0147179,0.0242724,0.0447815,0.136598,0.214802,0.942726,0.169968203834,0.0309543158647495,0.0197815114049298,0.0433039341380018,0.0393624938132696,0.0323357095011277,0.0329468131193498,0.0350976748033599,0.0319429436642684,0.0382854104441489,0.0388974877786543,0.0506646867917669,0.0588060443926793,0.0709778864138731,0.114418944055753,0.201364040545751,0.509126012396617,0.698768058659536,1,0.96904568413525,0.98021848859507,0.956696065861998,0.96063750618673,0.967664290498872,0.96705318688065,0.96490232519664,0.968057056335732,0.961714589555851,0.961102512221346,0.949335313208233,0.941193955607321,0.929022113586127,0.885581055944247,0.798635959454249,0.490873987603383,0.301231941340464,0,1e+05,3095.43158647495,97430.6933603692,5467918.9572009,54.679189572009,2024,"Females","UN-IGME",25.102510427991
0,1,0.0300904,0.00535024,0.00923674,0.00673707,0.00675693,0.00597155,0.00635437,0.00717152,0.00734471,0.00795538,0.00929171,0.0110289,0.0133898,0.0251596,0.0448862,0.13797,0.219004,0.93792,0.163447532456,0.029351556790031,0.0211743839282633,0.0451413037842106,0.0331273960349864,0.0332234290390578,0.0294185639363152,0.0312750174189095,0.0352260393850729,0.036061398710689,0.0390012260654584,0.0454038514486404,0.0536648396256322,0.0647805049858511,0.118353672362096,0.201787333479888,0.51292823019871,0.707601243287604,1,0.970648443209969,0.978825616071737,0.954858696215789,0.966872603965014,0.966776570960942,0.970581436063685,0.968724982581091,0.964773960614927,0.963938601289311,0.960998773934542,0.95459614855136,0.946335160374368,0.935219495014149,0.881646327637904,0.798212666520112,0.48707176980129,0.292398756712396,0,1e+05,2935.1556790031,97544.5882741042,5522145.52376994,55.2214552376994,2024,"Females","UN-IGME",24.5602447623006
0,1,0.0371967,0.00646611,0.0100638,0.00733903,0.00730806,0.00734922,0.00725086,0.00750966,0.00789148,0.00974949,0.00992359,0.0118513,0.0159342,0.0236305,0.0460711,0.144089,0.220811,0.929434,0.191026301063,0.0361101053321739,0.0255342257747512,0.0490840693570122,0.0360340132395366,0.0358846814865387,0.036083142616549,0.0356088136928673,0.0368563532947906,0.0386940173401023,0.0475875638063637,0.0484167793319726,0.0575513540930914,0.0766188498084553,0.111561844579179,0.206563931175994,0.529652317911224,0.711363039636862,1,0.963889894667826,0.974465774225249,0.950915930642988,0.963965986760463,0.964115318513461,0.963916857383451,0.964391186307133,0.963143646705209,0.961305982659898,0.952412436193636,0.951583220668027,0.942448645906909,0.923381150191545,0.888438155420821,0.793436068824006,0.470347682088776,0.288636960363138,0,1e+05,3611.0105332174,97078.7874520427,5331841.52984328,53.3184152984328,2024,"Females","UN-IGME",26.4632847015672
