"year","sex","age","dx","source","region"
2012,"f",0,280,"pcbs","Palestine"
2012,"f",5,35,"pcbs","Palestine"
2012,"f",10,26,"pcbs","Palestine"
2012,"f",15,24,"pcbs","Palestine"
2012,"f",20,29,"pcbs","Palestine"
2012,"f",25,19,"pcbs","Palestine"
2012,"f",30,25,"pcbs","Palestine"
2012,"f",35,48,"pcbs","Palestine"
2012,"f",40,50,"pcbs","Palestine"
2012,"f",45,92,"pcbs","Palestine"
2012,"f",50,103,"pcbs","Palestine"
2012,"f",55,156,"pcbs","Palestine"
2012,"f",60,178,"pcbs","Palestine"
2012,"f",65,296,"pcbs","Palestine"
2012,"f",70,329,"pcbs","Palestine"
2012,"f",75,420,"pcbs","Palestine"
2012,"f",80,1040,"pcbs","Palestine"
2013,"f",0,215,"pcbs","Palestine"
2013,"f",5,28,"pcbs","Palestine"
2013,"f",10,27,"pcbs","Palestine"
2013,"f",15,27,"pcbs","Palestine"
2013,"f",20,32,"pcbs","Palestine"
2013,"f",25,26,"pcbs","Palestine"
2013,"f",30,26,"pcbs","Palestine"
2013,"f",35,45,"pcbs","Palestine"
2013,"f",40,62,"pcbs","Palestine"
2013,"f",45,65,"pcbs","Palestine"
2013,"f",50,128,"pcbs","Palestine"
2013,"f",55,143,"pcbs","Palestine"
2013,"f",60,182,"pcbs","Palestine"
2013,"f",65,264,"pcbs","Palestine"
2013,"f",70,335,"pcbs","Palestine"
2013,"f",75,417,"pcbs","Palestine"
2013,"f",80,1011,"pcbs","Palestine"
2014,"f",0,222,"pcbs","Palestine"
2014,"f",5,22,"pcbs","Palestine"
2014,"f",10,25,"pcbs","Palestine"
2014,"f",15,34,"pcbs","Palestine"
2014,"f",20,15,"pcbs","Palestine"
2014,"f",25,25,"pcbs","Palestine"
2014,"f",30,30,"pcbs","Palestine"
2014,"f",35,32,"pcbs","Palestine"
2014,"f",40,51,"pcbs","Palestine"
2014,"f",45,84,"pcbs","Palestine"
2014,"f",50,134,"pcbs","Palestine"
2014,"f",55,173,"pcbs","Palestine"
2014,"f",60,148,"pcbs","Palestine"
2014,"f",65,291,"pcbs","Palestine"
2014,"f",70,343,"pcbs","Palestine"
2014,"f",75,440,"pcbs","Palestine"
2014,"f",80,1029,"pcbs","Palestine"
2015,"f",0,263,"pcbs","Palestine"
2015,"f",5,28,"pcbs","Palestine"
2015,"f",10,17,"pcbs","Palestine"
2015,"f",15,30,"pcbs","Palestine"
2015,"f",20,37,"pcbs","Palestine"
2015,"f",25,24,"pcbs","Palestine"
2015,"f",30,34,"pcbs","Palestine"
2015,"f",35,42,"pcbs","Palestine"
2015,"f",40,57,"pcbs","Palestine"
2015,"f",45,82,"pcbs","Palestine"
2015,"f",50,122,"pcbs","Palestine"
2015,"f",55,176,"pcbs","Palestine"
2015,"f",60,195,"pcbs","Palestine"
2015,"f",65,270,"pcbs","Palestine"
